,0
485,0.45726392
486,0.7751302
487,0.6389749
488,0.4495484
489,0.7196134
490,0.79200304
491,0.69662654
492,0.7930876
493,0.77158904
494,0.8206517
495,0.8022831
496,0.64119595
497,0.97236955
498,0.5125716
499,0.723681
500,0.8843333
501,0.932566
502,0.9056066
503,0.5682414
504,0.9775989
505,0.8751769
506,0.61727744
507,0.7344196
508,0.7773623
509,0.7655222
510,0.27767786
511,0.74684805
512,0.621361
513,0.5995523
514,0.14606115
515,0.4432787
516,0.48331675
517,0.79919076
518,0.894372
519,0.6162699
520,0.87443846
521,0.8482567
522,0.61684895
523,0.4377057
524,0.8203242
525,0.22585289
526,0.27054644
527,0.19003317
528,0.34692284
529,0.80893904
530,0.3339877
531,0.65946984
532,0.48476735
533,0.49390447
534,0.9096985
535,0.87416726
536,0.84538925
537,0.80612874
538,0.3758113
539,0.66920376
540,0.85625887
541,0.6190642
542,0.9683156
543,0.6663631
544,0.89897066
545,0.851399
546,0.40906158
547,0.8089337
548,0.7804353
549,0.47678676
550,0.47008875
551,0.73738956
552,0.85164225
553,0.40395045
554,0.8122561
555,0.78170866
556,0.9404122
557,0.9166382
558,0.80709577
559,0.9739838
560,0.48078474
561,0.94633687
562,0.4830023
563,0.8535771
564,0.476841
565,0.24811244
566,0.508534
567,0.8404375
568,0.59311265
569,0.79220366
570,0.85067207
571,0.8761309
572,0.91241944
573,0.92706674
574,0.8808791
575,0.7601303
576,0.7883809
577,0.92801666
578,0.78607696
579,0.7595071
580,0.57524
581,0.94833905
582,0.97653776
583,0.85926986
584,0.63409513
585,0.7465403
586,0.9773448
587,0.7695915
588,0.810463
589,0.40606895
590,0.41402027
591,0.767248
592,0.89752483
593,0.27039203
594,0.6033559
595,0.43358397
596,0.30381185
597,0.48929018
598,0.80983233
599,0.17950793
600,0.13335189
601,0.33411485
602,0.4201368
603,0.2439574
604,0.1818926
605,0.27810967
606,0.25041673
607,0.14607447
608,0.4403787
609,0.40237617
610,0.45994282
611,0.35638583
612,0.66501456
613,0.5090803
614,0.57285297
615,0.08965452
616,0.35696763
617,0.17291668
618,0.7099907
619,0.20195606
620,0.32738382
621,0.24825358
622,0.1348628
623,0.381252
624,0.17880738
625,0.43488318
626,0.18590519
627,0.28022638
628,0.20508118
629,0.3252657
630,0.2865602
631,0.16854596
632,0.35871047
633,0.28536826
634,0.84134173
635,0.4292508
636,0.71340716
637,0.7471507
638,0.44199282
639,0.3933719
640,0.5415244
641,0.76452035
642,0.7431408
643,0.8868625
644,0.15707345
645,0.34755206
646,0.46289283
647,0.537052
648,0.5713775
649,0.5196142
650,0.6732429
651,0.37053287
652,0.3392143
653,0.30440727
654,0.54851186
655,0.54958993
656,0.41909578
657,0.33942205
658,0.66576517
659,0.42064124
660,0.43475002
661,0.21856567
662,0.84406066
663,0.49856463
664,0.50438625
665,0.4200767
666,0.1488609
667,0.18808109
668,0.19233696
669,0.14340456
670,0.1215072
671,0.46307442
672,0.6085467
673,0.27085316
674,0.481394
675,0.3362677
676,0.43188807
677,0.25760767
678,0.118263595
679,0.8134629
680,0.6208661
681,0.3826872
682,0.8574184
683,0.45973894
684,0.5454263
685,0.5971817
686,0.8194202
687,0.15461102
688,0.41349834
689,0.54080373
690,0.13737433
691,0.8627494
692,0.27250785
693,0.7404699
694,0.1880224
695,0.3576272
696,0.706885
697,0.3871101
698,0.26814425
699,0.54318255
700,0.40573075
701,0.2958725
702,0.3201265
703,0.7438701
704,0.20490654
705,0.14649193
706,0.27219158
707,0.47312918
708,0.7163772
709,0.36215177
710,0.15668423
711,0.55050546
712,0.45093817
713,0.12277158
714,0.18237124
715,0.33997744
716,0.17061985
717,0.48085943
718,0.10380906
719,0.47191012
720,0.73746926
721,0.726075
722,0.43910456
723,0.46973962
724,0.6581411
725,0.47010964
726,0.4069706
727,0.11023805
728,0.43029323
729,0.3307114
730,0.18105951
731,0.17065413
732,0.26333973
733,0.15562156
734,0.6749735
735,0.35960805
736,0.38912603
737,0.61208963
738,0.18546595
739,0.65208226
740,0.6247332
741,0.2303666
742,0.74171925
743,0.31298646
744,0.43889132
745,0.63766235
746,0.35514903
747,0.6191833
748,0.667491
749,0.6427936
750,0.39896291
751,0.6416122
752,0.76242536
753,0.62301266
754,0.5116032
755,0.76886183
756,0.15594979
757,0.7727561
758,0.65405333
759,0.56125355
760,0.7905679
761,0.6318421
762,0.114495926
763,0.7461299
764,0.3405216
765,0.14128132
766,0.30169028
767,0.8132112
768,0.83890575
769,0.40181738
770,0.7224738
771,0.78248507
772,0.16577683
773,0.7861672
774,0.7600515
775,0.41757408
776,0.16924827
777,0.9165082
778,0.60048705
779,0.25661358
780,0.7847163
781,0.33987305
782,0.19994767
783,0.57207435
784,0.6016367
785,0.14734389
786,0.34882507
787,0.41611022
788,0.36228195
789,0.93561727
790,0.19625853
791,0.77121115
792,0.55299693
793,0.525617
794,0.1937861
795,0.66153026
796,0.7022124
797,0.8150205
798,0.86376613
799,0.6791415
800,0.8959167
801,0.29511663
802,0.6303581
803,0.18088418
804,0.25367764
805,0.86246634
806,0.65732706
807,0.31757075
808,0.7045897
809,0.14320217
810,0.6213607
811,0.2771571
812,0.4093248
813,0.82134354
814,0.7348252
815,0.42435676
816,0.5722931
817,0.4263596
818,0.73595804
819,0.1641607
820,0.42723
821,0.7261595
822,0.46812207
823,0.8116467
824,0.7789708
825,0.8205101
826,0.6470424
827,0.49773267
828,0.7276182
829,0.5639163
830,0.43982953
831,0.35242692
832,0.13843359
833,0.69908184
834,0.6038445
835,0.15605131
836,0.7557626
837,0.29082614
838,0.75446635
839,0.5879735
840,0.39226085
841,0.78
842,0.57414794
843,0.46156734
844,0.19768666
845,0.17210126
846,0.14843841
847,0.7376512
848,0.75648296
849,0.8059174
850,0.7973191
851,0.71246636
852,0.19435182
853,0.37298143
854,0.35846257
855,0.64202493
856,0.17529753
857,0.67113113
858,0.2849614
859,0.31699806
860,0.39981386
861,0.4196028
862,0.47028896
863,0.44870192
864,0.5791617
865,0.7522969
866,0.16674137
867,0.64539796
868,0.8090969
869,0.16298945
870,0.6299273
871,0.68164384
872,0.7742048
873,0.60334826
874,0.6657204
875,0.54768354
876,0.68588096
877,0.31788725
878,0.57976556
879,0.75243545
880,0.85314006
881,0.42651173
882,0.47812542
883,0.7225522
884,0.73918873
885,0.29791924
886,0.8830924
887,0.14697435
888,0.73921126
889,0.2939019
890,0.72380173
891,0.6911456
892,0.6577228
893,0.4263596
894,0.1533042
895,0.76945853
896,0.26461077
897,0.4864611
898,0.3373763
899,0.9615557
900,0.05850562
901,0.75112504
902,0.8549239
903,0.96916145
904,0.99085337
905,0.9896484
906,0.99807346
907,0.95382875
908,0.999037
909,0.8445569
910,0.99169755
911,0.9958026
912,0.99813324
913,0.979565
914,0.8806048
915,0.88199764
916,0.9504037
917,0.36474425
918,0.89215225
919,0.8333198
920,0.8528689
921,0.9821476
922,0.9973935
923,0.6917457
924,0.15226942
925,0.8591388
926,0.9818069
